Producer,Wine Name,Award,Score,Country,Region,Sub-region,Vintage,Colour,
Lake Chalice,Plume Pinot Noir,Bronze,86,New Zealand,Marlborough,Not Applicable,2017,Red,
Giesen Group,Clayvin Single Vineyard Chardonnay,Silver,94,New Zealand,Marlborough,Not Applicable,2017,White,
Spy Valley,Envoy Outpost Pinot Noir,Bronze,89,New Zealand,Marlborough,Southern Valleys,2017,Red,
Te Kano Estate,Northburn Chardonnay,Silver,91,New Zealand,Central Otago,Not Applicable,2021,White,
Vidal,Reserve Chardonnay,Bronze,88,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Spy Valley,Envoy Johnson Sauvignon Blanc,Silver,94,New Zealand,Marlborough,Waihopai Valley,2021,White,
Waipara West,Sauvignon Blanc,Gold,95,New Zealand,Waipara,Not Applicable,2021,White,
Church Road,1 Single Vineyard Terraces Chardonnay,Silver,92,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Church Road,McDonald Series Merlot,Gold,95,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
Stoneleigh,Latitude Pinot Noir,Silver,91,New Zealand,Marlborough,Not Applicable,2021,Red,
The Hunting Lodge,Seasonal Collection Syrah,Silver,93,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
The Hunting Lodge,Seasonal Collection Lagrein,Silver,91,New Zealand,Marlborough,Not Applicable,2021,Red,
Pask,Declaration Syrah,Silver,91,New Zealand,Hawke's Bay,Gimblett Gravels,2021,Red,
Pask,Chardonnay,Bronze,87,New Zealand,Hawke's Bay,Gimblett Gravels,2021,White,
Te P? Family Vineyards,Organic Pinot Noir,Silver,92,New Zealand,Marlborough,Southern Valleys,2021,Red,
Mutu,Reserve Chardonnay,Gold,95,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Esk Valley,Artisanal Collection,Silver,91,New Zealand,Hawke's Bay,Gimblett Gravels,2021,Red,
Esk Valley,Artisanal Syrah,Gold,95,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
Esk Valley,Artisanal Collection Albariño,Bronze,89,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Esk Valley,Seabed Chardonnay,Silver,94,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Giesen Group,Ara Resolute Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2021,White,
Leftfield,Flamingo Recluse Wholeberry Pinot Noir,Silver,91,New Zealand,Marlborough,Not Applicable,2021,Red,
Giesen Group,Clayvin Single Vineyard Syrah,,93,New Zealand,Marlborough,Not Applicable,2021,Red,
Giesen Group,Ara Resolute Pinot Noir,Gold,95,New Zealand,Marlborough,Not Applicable,2021,Red,
Giesen Group,Small Batch Pinot Noir,Silver,91,New Zealand,Marlborough,Not Applicable,2021,Red,
Giesen Group,Organic Pinot Noir,Bronze,88,New Zealand,Marlborough,Not Applicable,2021,Red,
Giesen Group,The August Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2021,White,
Villa Maria,Earth Garden Merlot-Cabernet Sauvignon,Silver,92,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
Villa Maria,Private Bin Merlot,Bronze,89,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
Villa Maria,Private Bin Pinot Noir,Bronze,89,New Zealand,Marlborough,Not Applicable,2021,Red,
Villa Maria,Reserve Chardonnay,Silver,90,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Villa Maria,Keltern Chardonnay,Silver,92,New Zealand,Hawke's Bay,Not Applicable,2021,White,
Villa Maria,EarthGarden Rosé,Bronze,86,New Zealand,Hawke's Bay,Not Applicable,2021,Rosé,
Villa Maria,Cellar Selection Pinot Noir,Silver,90,New Zealand,Marlborough,Not Applicable,2021,Red,
Villa Maria,Single Vineyard Chardonnay,Bronze,86,New Zealand,Marlborough,Taylors Pass,2021,White,
Villa Maria,Single Vineyard McDiarmid Hill Chardonnay,Silver,94,New Zealand,Gisborne,Patutahi,2021,White,
Paddy Borthwick,Pinot Noir,Silver,91,New Zealand,Wairarapa,Not Applicable,2021,Red,
Craggy Range,Chardonnay,Silver,90,New Zealand,Hawke's Bay,Gimblett Gravels,2021,White,
Te Kairanga,John Martin Pinot Noir,Silver,93,New Zealand,Wairarapa,Martinborough,2021,Red,
Martinborough Vineyard,Te Tera Pinot Noir,Bronze,89,New Zealand,Wairarapa,Martinborough,2021,Red,
Craggy Range,Syrah,Silver,92,New Zealand,Hawke's Bay,Gimblett Gravels,2021,Red,
Brancott Estate,Letter Series O Chardonnay,Gold,95,New Zealand,Marlborough,Not Applicable,2021,White,
Urlar,Pinot Noir,Bronze,89,New Zealand,Wairarapa,East Taratahi/Gladstone,2021,Red,
Urlar,Organic Sauvignon Blanc,Bronze,88,New Zealand,Wairarapa,East Taratahi/Gladstone,2021,White,
Mc Arthur Ridge,Southern Tor Pinot Noir,Gold,96,New Zealand,Central Otago,Alexandra Basin,2021,Red,
Lawson's Dry Hills,Reserve Chardaonnay,Silver,93,New Zealand,Marlborough,Not Applicable,2021,White,
Akarua,Pinot Noir,Silver,93,New Zealand,Central Otago,Bannockburn,2021,Red,
Yealands Estate Wines,Single Vineyard Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Awatere Valley,2021,White,
Catalina Sounds,Sound of White Pinot Noir,Silver,92,New Zealand,Marlborough,Not Applicable,2021,Red,
Catalina Sounds,Pinot Noir,Silver,91,New Zealand,Marlborough,Not Applicable,2021,Red,
Nanny Goat Vineyard,Queensberry Chardonnay,Silver,94,New Zealand,Central Otago,Not Applicable,2021,White,
Nanny Goat Vineyard,Pinot Noir,Gold,95,New Zealand,Central Otago,Not Applicable,2021,Red,
Nanny Goat Vineyard,Super Nanny Pinot Noir,Gold,95,New Zealand,Central Otago,Not Applicable,2021,Red,
Nanny Goat Vineyard,Queensberry Pinot Noir,Bronze,88,New Zealand,Central Otago,Not Applicable,2021,Red,
Catalina Sounds,Chardonnay,Silver,90,New Zealand,Marlborough,Waihopai Valley,2021,White,
Catalina Sounds,Barrel Fermented Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2021,White,
Catalina Sounds,Sound of White Chardonnay,Silver,93,New Zealand,Marlborough,Waihopai Valley,2021,White,
Marisco Vineyards,The Craft Series 'The Exemplar' Viognier,Silver,93,New Zealand,Marlborough,Waihopai Valley,2021,White,
Marisco Vineyards,The Craft Series 'Pride & Glory' Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Waihopai Valley,2021,White,
Matahiwi Estate,Holly South Series Chardonnay,Silver,90,New Zealand,Wairarapa,Not Applicable,2021,White,
Matahiwi Estate,Holly South Series Pinot Noir,Silver,90,New Zealand,Wairarapa,Masterton,2021,Red,
